Skill,Communication,Project_Level,Result
Python,Good,High,Selected
Java,Average,Medium,Selected
C,Poor,Low,Rejected
Python,Excellent,High,Selected
Java,Poor,Low,Rejected
C++,Good,Medium,Selected
Python,Average,Medium,Selected
Java,Good,Low,Rejected
C,Excellent,High,Selected
C++,Poor,Low,Rejected
Python,Good,Medium,Selected
Java,Excellent,High,Selected
C,Average,Low,Rejected
C++,Good,High,Selected
Python,Poor,Low,Rejected
Java,Good,Medium,Selected
C,Good,Medium,Selected
C++,Average,Low,Rejected
Python,Excellent,Medium,Selected
Java,Poor,Medium,Rejected
